,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset in data table (for modders),0x00 (0),0x04 (4),0x08 (8),0xC (12),0x10 (16),0x14 (20),0x18 (24),0x1C (28),0x20 (32),0x24 (36),0x25 (37),0x26 (38),0x27 (39),0x29 (41),0x2C (44),0x2D (45),0x2E (46),0x2F (47),0x30 (48),0x31 (49),0x32 (50),0x33 (51),0x35 (53),0x37 (55),0x38 (56),0x3C (60),0x40 (64),0x44 (68),0x48 (72),0x4C (76),0x50 (80),0x54 (84),0x5C (92),0x60 (96),0x64 (100),0x65 (101),0x66 (102),0x67 (103),0x68 (104),0x6C (108),0x70 (112),0x74 (116),0x78 (120),0x7C (124),0x80 (128),0x84 (132),0x88 (136),0x8C (140),0x90 (144),0x94 (148),0x98 (152),0x9C (156),0xA0 (160),0xA4 (164),0xA8 (168),0xBC (188),0xC0 (192),0xC4 (196),0xC8 (200),0xCC (204),0xD0 (208),0xD4 (212),0xD8 (216),0xDC (220),0xE0 (224),0xE8 (232),0xEC (236),0xF0 (240),0xF4 (244),0x110 (272),0x130 (304),0x134 (308),0x138 (312),0x13C (316),0x140 (320),0x144 (324),0x148 (328),0x14C (332),0x150 (336),0x154 (340),0x158 (344),0x15C (348),0x160 (352),0x164 (356),0x168 (360),0x16C (364),,,,Params right of here are only useful to modders,0xAC (172),0xB0 (176),0xB4 (180),0xB8 (184),0xE4 (228),0xF8 (248),0xFC (252),0x100 (256),0x104 (260),0x108 (264),0x10C (268),0x114 (276),0x118 (280),0x11C (284),0x120 (288),0x124 (292),0x128 (296),0x12C (300),Total Size
Efreet,47,52,759,264,34,43,53,32,29,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,4955,177,10,55,0,0,10,10,0,100,1 (Life Stone),8,,23 (Fire Gem),10,,566 (Efreet's Essence),3,,Skill_Agidyne (5),Skill_FirePleroma (491),Skill_Matarukaja (119),,,,,,Skill_IncendiaryStoning (669),100,Drain (1000),125,100,100,100,100,100,100,100,100,100,100,100,0,5,-5,0,0,0,0,0,0,1,0,0,0,47,272,332,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,48,1,57,47,5,6,4,3,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,49,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,50,1,43,64,4,4,3,6,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Titania,51,57,496,289,25,36,54,35,42,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,5317,212,11,55,0,64,10,10,0,100,1 (Life Stone),8,,25 (Elec Gem),10,,343 (Titania's Essence),3,,Skill_Ziodyne (35),Skill_Diarahan (99),,,,,,,Skill_SummerDream (622),100,125,100,100,100,Null (0),50,100,100,100,100,50,100,50,-4,0,0,3,0,0,0,0,0,1,3,3,0,51,259,289,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Oberon,52,47,514,191,32,34,32,31,32,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,3279,147,11,55,0,0,10,10,0,100,1 (Life Stone),5,,2 (Chakra Drop),6,,344 (Oberon's Essence),3,,Skill_Zandyne (50),Skill_Diamrita (150),,,,,,,Skill_FairyKingsMelody (546),100,100,100,125,Null (0),100,100,100,100,100,125,100,100,100,0,0,0,-4,3,0,0,0,0,2,2,2,0,52,215,325,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Silky,53,41,299,210,19,23,40,29,34,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,2727,116,8,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_FrigidMelody (592),100,125,Null (0),100,100,100,100,100,100,125,50,Null (0),100,100,-3,0,3,0,0,0,0,0,0,1,2,2,0,53,51,257,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Setanta,54,35,315,163,35,25,26,27,20,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,1807,90,7,55,0,0,10,10,0,100,1 (Life Stone),6,,2 (Chakra Drop),5,,346 (Setanta's Essence),3,,Skill_FatalSword (184),Skill_Deathbound (162),,,,,,,Skill_SurrogateGuardHound (558),100,100,100,125,Null (0),100,125,100,100,125,100,100,50,100,3,0,0,-3,1,0,0,0,0,2,0,0,0,54,223,23,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kelpie,55,30,247,150,21,22,20,29,24,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,1216,71,6,55,0,0,10,10,0,100,1 (Life Stone),6,,40 (Mirage Gem),10,,347 (Kelpie's Essence),3,,Skill_BerserkerGod (158),Skill_Diarama2 (104),,,,,,,Skill_RestorativeMelody (597),100,100,50,100,125,100,100,100,100,100,100,100,100,Null (0),0,0,0,0,-3,0,0,0,0,1,3,3,0,55,354,270,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
High Pixie,56,18,126,119,10,12,21,16,16,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,347,38,3,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_ElecGestalt (649),100,100,125,100,50,100,100,100,100,50,100,100,50,100,0,0,-4,1,1,0,0,0,0,1,1,1,4,56,59,317,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack-o'-Lantern,57,20,168,125,11,12,23,19,18,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,80,90,0,0,453,41,4,55,0,58,10,10,0,100,1 (Life Stone),6,,17 (Fire Shard),10,,349 (Jack-o'-Lantern's Essence),3,,Skill_JackAgilao (836),Skill_Maragi (9),,,,,,,Skill_Forager (532),100,Null (0),125,100,100,100,100,100,100,125,100,100,100,100,0,5,-5,0,0,-1,0,0,0,1,0,0,3,57,274,290,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,58,25,200,150,14,15,29,21,21,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,788,55,5,55,0,0,10,10,0,100,1 (Life Stone),6,,24 (Ice Gem),5,,350 (Jack Frost's Essence),3,,Skill_JackBufula (220),Skill_IceBreath (29),,,,,,,Skill_FicklePersonality (634),100,125,Drain (1000),100,100,100,100,100,100,100,125,100,100,100,0,-5,4,0,0,2,0,0,0,0,0,0,0,58,72,87,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Pixie,59,2,55,82,2,4,7,6,6,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,70,0,0,26,13,1,55,0,0,10,10,0,100,1 (Life Stone),8,,9 (Amrita Soda),10,,351 (Pixie's Essence),3,9,Skill_Dia2 (103),,,,,,,,Skill_DemonicMediation (533),100,100,100,100,50,100,125,100,100,125,100,100,100,100,-2,0,0,0,1,0,-1,0,1,1,1,1,4,59,317,315,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Nahobeeho,60,65,674,267,43,45,43,41,43,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,8372,273,13,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_MagatsuhiThriftiness (711),50,100,Drain (1000),Null (0),125,50,100,100,100,100,100,100,100,100,4,0,5,3,-5,0,0,0,-4,1,0,0,0,60,140,69,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,61,1,57,47,5,6,4,3,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,62,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,63,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Queen Medb,64,56,534,284,25,30,52,33,49,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,5334,204,14,55,0,0,10,10,0,100,1 (Life Stone),8,,40 (Mirage Gem),10,,352 (Queen Medb's Essence),3,,Skill_Agidyne (5),Skill_Mazandyne (56),Skill_Fogna (96),,,,,,Skill_AiledResurgence (619),100,100,100,125,Null (0),100,100,100,125,100,50,50,100,100,0,3,0,-2,2,0,0,0,3,0,0,0,0,64,149,55,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Succubus,65,38,372,197,17,20,38,31,29,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,2241,103,7,55,0,68,10,10,0,100,1 (Life Stone),5,,42 (Charm Gem),10,,353 (Succubus's Essence),3,,Skill_Bufula (18),Skill_SpiritDrain (80),Skill_Masukunda (133),,,,,,Skill_Allure (534),100,50,Null (0),100,100,125,100,100,100,100,Null (0),Null (0),100,100,0,0,4,0,0,-5,0,0,4,1,0,0,0,65,29,43,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kaiwan,66,45,435,211,27,27,24,41,38,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,2594,137,9,55,0,0,10,10,0,100,1 (Life Stone),5,,28 (Dark Gem),5,,354 (Kaiwan's Essence),3,,Skill_Mamudoon (65),Skill_Makajamaon (94),,,,,,,Skill_DarkStar (583),100,100,100,100,100,125,Null (0),100,100,100,100,100,50,100,0,0,0,0,0,-3,3,0,1,2,0,0,0,66,254,343,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Lilim,67,32,292,172,13,18,34,27,26,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,1427,78,12,55,0,0,10,10,0,100,1 (Life Stone),6,,42 (Charm Gem),10,,355 (Lilim's Essence),3,,Skill_Mazionga (40),Skill_MarinKarin (91),,,,,,,Skill_Allure (534),100,100,125,Null (0),100,100,100,100,100,100,Null (0),50,100,100,0,0,-3,3,0,0,0,0,2,0,0,0,0,67,65,68,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Incubus,68,22,194,106,17,18,15,32,17,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,403,46,4,55,0,0,10,10,0,100,1 (Life Stone),6,,38 (Sleep Gem),10,,356 (Incubus's Essence),3,,Skill_DreamNeedle (207),Skill_MarinKarin (91),,,,,,,Skill_UnendingNightmare (662),100,100,100,125,50,100,100,100,100,100,Null (0),50,100,100,0,0,0,-4,1,0,0,0,5,-2,0,0,0,68,147,259,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Mokoi,69,16,157,90,15,15,12,11,16,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,70,0,0,257,34,3,55,0,0,10,10,0,100,1 (Life Stone),8,,616 (Fortune),10,,357 (Mokoi's Essence),3,,Skill_Pulinpa (89),Skill_Dustoma (95),,,,,,,Skill_CompoundedCalamity (588),100,100,100,50,125,100,100,100,100,100,100,100,100,100,0,0,0,2,-3,0,0,0,2,-1,0,0,3,69,316,325,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Sandman,70,8,81,81,11,8,7,10,13,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,70,0,0,57,21,1,55,0,0,10,10,0,100,1 (Life Stone),8,,18 (Ice Shard),10,,358 (Sandman's Essence),3,,Skill_DreamNeedle (207),,,,,,,,Skill_UnendingNightmare (662),100,100,100,125,50,100,100,100,100,100,100,Null (0),100,100,1,0,0,-3,1,0,0,0,3,-1,0,0,3,70,100,345,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Lilith,71,68,627,352,30,36,63,48,49,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,9251,297,13,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_Taboo (609),100,50,50,50,125,100,50,100,100,100,100,100,100,100,0,0,0,4,-5,0,0,2,3,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Black Frost,72,44,381,179,30,32,30,30,30,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,3267,131,8,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_TwilitMelody (596),100,50,Null (0),100,100,125,Repel (999),100,100,100,100,100,100,100,0,0,3,0,0,-4,4,0,0,0,0,0,0,72,58,87,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,73,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,74,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Nuwa,75,80,849,425,34,41,73,55,58,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,11087,408,19,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_FirmamentRestoration (687),100,125,100,50,Repel (999),100,50,100,100,100,Null (0),100,100,100,2,-5,0,0,4,0,0,0,0,0,2,2,0,75,43,27,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Amon,76,87,1391,322,65,79,45,42,51,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,12149,480,20,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_BurningAspiration_PassivePart (681),50,Drain (1000),125,100,100,50,50,100,100,100,100,100,100,100,2,6,-6,0,0,0,0,0,0,4,0,0,0,76,136,78,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Mara,77,67,780,249,62,51,31,40,38,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,8955,290,16,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_FearofDeath (635),100,100,125,Drain (1000),100,50,50,100,100,100,Null (0),100,100,100,5,0,-6,0,0,0,0,0,3,0,0,0,0,77,103,236,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Mephisto,78,79,969,335,51,54,51,50,51,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,10935,399,18,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_CompoundedCalamity (588),Null (0),100,100,100,100,125,Drain (1000),100,100,100,100,100,100,100,7,7,0,0,0,-6,9,0,9,4,0,0,0,78,52,140,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Chi You,79,77,1822,325,65,58,56,33,40,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,6858,758,18,55,0,0,10,10,0,100,1 (Life Stone),20,,6 (Soma),5,,365 (Chi You's Essence),3,,Skill_YabusameShot (211),Skill_GlacialBlast (28),Skill_Mazanbarion (57),Skill_HighPhysPleroma (490),,,,,Skill_VengefulMight (641),100,125,Null (0),125,Repel (999),100,100,100,100,100,100,100,100,100,4,-5,4,-5,2,0,0,0,0,0,0,0,0,79,12,206,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Surt,80,62,619,253,41,44,41,39,41,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,7522,249,14,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_FireEnhancer (600),100,Drain (1000),125,100,100,100,100,100,100,100,100,100,100,100,4,6,-6,0,0,0,0,0,0,0,0,0,0,80,357,314,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Beelzebub,81,95,1263,487,52,54,46,80,74,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,13723,569,23,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_Biondetta (554),100,125,50,Drain (1000),100,50,Null (0),100,Null (0),Null (0),100,Null (0),100,Null (0),0,-6,2,4,0,-2,6,0,0,2,-4,-4,0,81,386,87,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Arioch,82,75,963,284,69,56,35,45,42,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,10333,361,18,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_Avenger (644),100,100,Repel (999),125,50,100,50,100,100,100,100,100,100,100,2,0,5,-7,0,0,0,0,2,0,0,0,0,82,172,189,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Belial,83,92,1433,366,83,68,42,54,51,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,12993,536,22,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_WantonRebel (549),100,Null (0),125,100,Null (0),100,Null (0),100,100,100,100,100,100,100,3,6,-7,0,0,0,2,0,0,0,0,0,0,83,317,268,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Abaddon,84,72,812,300,47,50,47,45,47,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,9884,333,17,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_CripplingBlow (659),100,Null (0),100,125,100,100,50,100,100,100,100,100,125,50,4,2,0,-5,0,0,1,0,3,0,0,0,0,84,173,212,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Moloch,85,51,464,207,34,36,34,34,35,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,4725,171,12,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_KingofConflagration (578),100,Null (0),125,50,100,100,50,100,100,100,100,100,100,100,2,4,-5,0,0,0,2,0,0,0,0,0,0,85,342,130,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Belphegor,86,44,381,179,30,32,30,30,30,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,3267,131,10,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_BoonofSloth (674),50,125,Null (0),50,100,125,Null (0),100,100,100,100,100,100,100,0,0,4,0,0,0,4,0,0,1,-3,-3,0,86,68,67,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
King Frost,87,33,230,175,16,19,34,26,26,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,1548,82,7,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_IceGestalt (648),100,125,Drain (1000),100,100,50,125,100,100,100,100,100,100,100,0,-6,5,0,0,0,0,0,1,1,0,0,0,87,181,354,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Mithras,88,82,1039,351,53,56,53,51,53,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,11390,429,19,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_RallyingAid (545),100,Drain (1000),125,100,100,Null (0),100,100,100,100,100,100,100,100,1,5,-4,0,0,3,0,0,0,1,0,0,0,88,82,87,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Loki,89,56,454,284,25,30,52,40,42,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,5927,204,13,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_Trickery (630),100,100,Null (0),100,50,125,50,100,125,100,50,100,100,100,0,3,3,3,3,-3,0,0,0,0,0,0,0,89,108,291,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,90,1,43,64,4,4,3,6,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,91,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,92,1,43,64,4,4,3,6,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,93,90,1248,394,58,60,58,56,58,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,12604,513,18,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Huang Long,94,78,945,330,51,53,51,49,50,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,10784,390,15,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_ShiningDragonScales (631),100,50,50,50,50,Null (0),125,100,100,50,100,125,100,125,0,0,0,0,0,0,-5,5,0,2,2,2,0,94,96,97,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Quetzalcoatl,95,34,278,144,24,26,24,24,24,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,1675,87,6,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_BreathofAbundance (581),100,Null (0),100,125,100,100,100,100,100,100,100,100,100,100,0,4,0,-6,4,0,0,0,0,2,0,0,0,95,13,189,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Qing Long,96,45,392,183,31,32,31,30,31,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,3458,137,9,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_AuspiciousBeast (565),100,100,50,125,Null (0),100,100,100,100,100,100,125,100,100,0,0,2,-6,5,0,0,0,0,1,0,0,0,96,126,97,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Xuanwu,97,23,218,93,21,24,15,14,16,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,642,49,4,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_AuspiciousBeast (565),100,125,Null (0),100,100,100,100,100,125,100,100,100,100,100,2,-6,5,0,0,0,0,0,0,2,0,0,0,97,117,107,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Ananta,98,59,626,216,55,45,28,36,34,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,6705,227,11,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_RoaringMist (670),100,100,Null (0),Null (0),125,Null (0),125,100,100,100,100,100,100,100,0,0,4,2,-4,2,0,0,0,0,0,0,0,98,103,322,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Vritra,99,52,477,211,40,32,40,34,30,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,4955,177,10,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_PandemonicFeast (632),100,100,50,Null (0),125,50,100,100,100,100,100,100,100,100,2,0,0,3,-3,0,0,-1,0,0,0,0,0,99,104,197,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Nyami Nyami,100,13,94,109,10,9,17,11,13,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,151,29,2,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_RoaringMist (670),100,125,Null (0),125,100,100,100,100,100,100,100,100,100,50,0,-1,3,-1,0,0,0,0,0,0,0,0,0,100,138,159,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
